problem,c_status,c_time_ms,c_answer,rust_status,rust_time_ms,rust_answer,ratio_rust_div_c,faster
1,OK,3,233168,OK,2,233168,0.67,Rust
2,OK,3,4613732,OK,1,4613732,0.33,Rust
3,OK,3,6857,OK,1,6857,0.33,Rust
4,OK,3,906609,OK,2,906609,0.67,Rust
5,OK,3,232792560,OK,1,232792560,0.33,Rust
6,OK,3,25164150,OK,1,25164150,0.33,Rust
7,OK,22,104743,OK,2,104743,0.09,Rust
8,OK,3,23514624000,OK,1,23514624000,0.33,Rust
9,OK,3,31875000,OK,1,31875000,0.33,Rust
10,OK,8,142913828922,OK,8,142913828922,1.00,~tied
11,OK,3,70600674,OK,2,70600674,0.67,Rust
12,OK,162,76576500,OK,13,76576500,0.08,Rust
13,OK,3,5537376230,OK,2,5537376230,0.67,Rust
14,OK,18,837799,OK,14,837799,0.78,~tied
15,OK,3,137846528820,OK,1,137846528820,0.33,Rust
16,OK,3,1366,OK,1,1366,0.33,Rust
17,OK,3,21124,OK,1,21124,0.33,Rust
18,OK,3,1074,OK,1,1074,0.33,Rust
19,OK,2,171,OK,2,171,1.00,~tied
20,OK,2,648,OK,1,648,0.50,Rust
21,OK,3,31626,OK,2,31626,0.67,Rust
22,OK,6,871198282,OK,2,871198282,0.33,Rust
23,OK,9,4179871,OK,8,4179871,0.89,~tied
24,OK,3,2783915460,OK,1,2783915460,0.33,Rust
25,OK,4,4782,OK,1,4782,0.25,Rust
26,OK,3,983,OK,2,983,0.67,Rust
27,OK,14,-59231,OK,13,-59231,0.93,~tied
28,OK,2,669171001,OK,2,669171001,1.00,~tied
29,OK,4,9183,OK,3,9183,0.75,~tied
30,OK,4,443839,OK,3,443839,0.75,~tied
31,OK,2,73682,OK,1,73682,0.50,Rust
32,OK,7,45228,OK,3,45228,0.43,Rust
33,OK,2,100,OK,1,100,0.50,Rust
34,OK,18,40730,OK,17,40730,0.94,~tied
35,OK,7,55,OK,5,55,0.71,~tied
36,OK,45,872187,OK,24,872187,0.53,Rust
37,OK,53,748317,OK,42,748317,0.79,~tied
38,OK,4,932718654,OK,2,932718654,0.50,Rust
39,OK,3,840,OK,2,840,0.67,Rust
40,OK,3,210,OK,5,210,1.67,C
41,OK,3,7652413,OK,1,7652413,0.33,Rust
42,OK,4,162,OK,2,162,0.50,Rust
43,OK,33,16695334890,OK,15,16695334890,0.45,Rust
44,OK,14,5482660,OK,39,5482660,2.79,C
45,OK,3,1533776805,OK,2,1533776805,0.67,Rust
46,OK,3,5777,OK,2,5777,0.67,Rust
47,OK,30,134043,OK,2,134043,0.07,Rust
48,OK,3,9110846700,OK,2,9110846700,0.67,Rust
49,OK,43,296962999629,OK,5,296962999629,0.12,Rust
50,OK,7,997651,OK,8,997651,1.14,~tied
51,OK,5,121313,OK,5,121313,1.00,~tied
52,OK,25,142857,OK,16,142857,0.64,Rust
53,OK,3,4075,OK,1,4075,0.33,Rust
54,OK,12,376,OK,2,376,0.17,Rust
55,OK,5,249,OK,16,249,3.20,C
56,OK,80,972,OK,7,972,0.09,Rust
57,OK,5,153,OK,6,153,1.20,~tied
58,OK,275,26241,OK,63,26241,0.23,Rust
59,OK,8,129448,OK,7,129448,0.88,~tied
60,OK,328,26033,OK,132,26033,0.40,Rust
61,OK,3,28684,OK,9,28684,3.00,C
62,OK,7,127035954683,OK,4,127035954683,0.57,Rust
63,OK,4,49,OK,2,49,0.50,Rust
64,OK,7,1322,OK,6,1322,0.86,~tied
65,OK,3,272,OK,1,272,0.33,Rust
66,OK,6,661,OK,3,661,0.50,Rust
67,OK,3,7273,OK,1,7273,0.33,Rust
68,OK,106,6531031914842725,OK,149,6531031914842725,1.41,~tied
69,OK,3,510510,OK,10,510510,3.33,C
70,OK,7,8319823,OK,5,8319823,0.71,~tied
71,OK,3,428570,OK,3,428570,1.00,~tied
72,OK,59,303963552391,OK,23,303963552391,0.39,Rust
73,OK,737,7295372,OK,408,7295372,0.55,Rust
74,OK,18,402,OK,30,402,1.67,C
75,OK,14,161667,OK,9,161667,0.64,Rust
76,OK,3,190569291,OK,1,190569291,0.33,Rust
77,OK,3,71,OK,2,71,0.67,Rust
78,OK,15,55374,OK,17,55374,1.13,~tied
79,OK,3,73162890,OK,1,73162890,0.33,Rust
80,OK,248,40886,OK,2,40886,0.01,Rust
81,OK,4,427337,OK,2,427337,0.50,Rust
82,OK,3,260324,OK,1,260324,0.33,Rust
83,OK,3,425185,OK,2,425185,0.67,Rust
84,OK,97,101524,OK,65,101524,0.67,~tied
85,OK,3,2772,OK,2,2772,0.67,Rust
86,OK,8,1818,OK,10,1818,1.25,~tied
87,OK,78,1097343,OK,43,1097343,0.55,Rust
88,OK,5,7587457,OK,4,7587457,0.80,~tied
89,OK,3,743,OK,2,743,0.67,Rust
90,OK,6,1217,OK,2,1217,0.33,Rust
91,OK,3,14234,OK,1,14234,0.33,Rust
92,OK,81,8581146,OK,63,8581146,0.78,~tied
93,OK,13,1258,OK,25,1258,1.92,C
94,OK,4,518408346,OK,1,518408346,0.25,Rust
95,OK,132,14316,OK,126,14316,0.95,~tied
96,OK,118,24702,OK,87,24702,0.74,~tied
97,OK,3,8739992577,OK,1,8739992577,0.33,Rust
98,OK,63,18769,OK,44,18769,0.70,~tied
99,OK,5,709,OK,2,709,0.40,Rust
100,OK,3,756872327473,OK,0,,0.00,Rust
101,OK,3,37076114526,OK,0,,0.00,Rust
102,OK,3,228,OK,0,,0.00,Rust
103,OK,3,20313839404245,OK,0,,0.00,Rust
104,OK,29,329468,OK,0,,0.00,Rust
105,OK,30,73702,OK,0,,0.00,Rust
106,OK,4,21384,OK,0,,0.00,Rust
107,OK,3,259679,OK,0,,0.00,Rust
108,OK,3,180180,OK,0,,0.00,Rust
109,OK,3,38182,OK,0,,0.00,Rust
110,OK,3,9350130049860600,OK,0,,0.00,Rust
111,OK,4,612407567715,OK,0,,0.00,Rust
112,OK,23,1587000,OK,0,,0.00,Rust
113,OK,3,51161058134250,OK,0,,0.00,Rust
114,OK,3,16475640049,OK,0,,0.00,Rust
115,OK,3,168,OK,0,,0.00,Rust
116,OK,3,20492570929,OK,0,,0.00,Rust
117,OK,3,100808458960497,OK,0,,0.00,Rust
118,OK,177,44680,OK,0,,0.00,Rust
119,OK,3,248155780267521,OK,0,,0.00,Rust
120,OK,3,333082500,OK,0,,0.00,Rust
121,OK,3,2269,OK,0,,0.00,Rust
122,OK,146,1582,OK,0,,0.00,Rust
123,OK,4,21035,OK,0,,0.00,Rust
124,OK,9,21417,OK,0,,0.00,Rust
125,OK,120,2906969179,OK,0,,0.00,Rust
126,OK,6,18522,OK,0,,0.00,Rust
127,OK,568,18407904,OK,0,,0.00,Rust
128,OK,5,14516824220,OK,0,,0.00,Rust
129,OK,19,1000023,OK,0,,0.00,Rust
130,OK,56,149253,OK,0,,0.00,Rust
131,OK,3,173,OK,0,,0.00,Rust
132,OK,9,843296,OK,0,,0.00,Rust
133,OK,13,453647705,OK,0,,0.00,Rust
134,OK,22,18613426663617118,OK,0,,0.00,Rust
135,OK,9,4989,OK,0,,0.00,Rust
136,OK,1273,2544559,OK,0,,0.00,Rust
137,OK,3,1120149658760,OK,0,,0.00,Rust
138,OK,3,1118049290473932,OK,0,,0.00,Rust
139,OK,489,10057761,OK,0,,0.00,Rust
140,OK,3,5673835352990,OK,0,,0.00,Rust
141,OK,84,878454337159,OK,0,,0.00,Rust
142,OK,269,1006193,OK,0,,0.00,Rust
143,OK,24,30758397,OK,0,,0.00,Rust
144,OK,3,354,OK,0,,0.00,Rust
145,OK,159,608720,OK,0,,0.00,Rust
146,OK,821,676333270,OK,0,,0.00,Rust
147,OK,3,846910284,OK,0,,0.00,Rust
148,OK,3,2129970655314432,OK,0,,0.00,Rust
149,OK,79,52852124,OK,0,,0.00,Rust
150,OK,128,-271248680,OK,0,,0.00,Rust
151,OK,3,0.464399,OK,0,,0.00,Rust
152,OK,471,301,OK,0,,0.00,Rust
153,OK,3614,17971254122360635,OK,0,,0.00,Rust
154,OK,1451,479742450,OK,0,,0.00,Rust
155,OK,4142,3857447,OK,0,,0.00,Rust
156,OK,15,21295121502550,OK,0,,0.00,Rust
157,OK,3,53490,OK,0,,0.00,Rust
158,OK,3,409511334375,OK,0,,0.00,Rust
159,OK,32,14489159,OK,0,,0.00,Rust
160,OK,4,16576,OK,0,,0.00,Rust
161,OK,118,20574308184277971,OK,0,,0.00,Rust
162,OK,2,3D58725572C62302,OK,0,,0.00,Rust
163,OK,3,343047,OK,0,,0.00,Rust
164,OK,3,378158756814587,OK,0,,0.00,Rust
165,OK,1332,2868868,OK,0,,0.00,Rust
166,OK,176,7130034,OK,0,,0.00,Rust
167,OK,2396,3916160068885,OK,0,,0.00,Rust
168,OK,4,59206,OK,0,,0.00,Rust
169,OK,3,178653872807,OK,0,,0.00,Rust
170,OK,287,9857164023,OK,0,,0.00,Rust
171,OK,3,142989277,OK,0,,0.00,Rust
172,OK,67,227485267000992000,OK,0,,0.00,Rust
173,OK,2,1572729,OK,0,,0.00,Rust
174,OK,9,209566,OK,0,,0.00,Rust
175,OK,3,"1,13717420,8",OK,1,"1,13717420,8",0.33,Rust
176,OK,3,96818198400000,OK,0,,0.00,Rust
177,OK,195,129325,OK,0,,0.00,Rust
178,OK,3,126461847755,OK,0,,0.00,Rust
179,OK,233,986262,OK,0,,0.00,Rust
180,OK,163,285196020571078987,OK,0,,0.00,Rust
181,OK,3,83735848679360680,OK,0,,0.00,Rust
182,OK,671,399788195976,OK,0,,0.00,Rust
183,OK,5,48861552,OK,0,,0.00,Rust
184,OK,65,1725323624056,OK,0,,0.00,Rust
185,OK,62,4640261571849533,OK,0,,0.00,Rust
186,OK,142,2325629,OK,0,,0.00,Rust
187,OK,718,17427258,OK,0,,0.00,Rust
188,OK,3,95962097,OK,0,,0.00,Rust
189,OK,40,10834893628237824,OK,0,,0.00,Rust
190,OK,3,371048281,OK,0,,0.00,Rust
191,OK,3,1918080160,OK,0,,0.00,Rust
192,OK,61,57060635927998347,OK,0,,0.00,Rust
193,OK,488,684465067343069,OK,0,,0.00,Rust
194,OK,6,61190912,OK,0,,0.00,Rust
195,OK,1033,75085391,OK,0,,0.00,Rust
196,OK,762,322303240771079935,OK,0,,0.00,Rust
197,OK,3,1.710637717,OK,0,,0.00,Rust
198,OK,28,52374425,OK,0,,0.00,Rust
199,OK,3,0.00396087,OK,0,,0.00,Rust
200,OK,17,229161792008,OK,0,,0.00,Rust
201,OK,240,115039000,OK,0,,0.00,Rust
202,OK,3,1209002624,OK,0,,0.00,Rust
203,OK,3,34029210557338,OK,0,,0.00,Rust
204,OK,44,2944730,OK,0,,0.00,Rust
205,OK,3,0.5731441,OK,0,,0.00,Rust
206,OK,3,1389019170,OK,0,,0.00,Rust
207,OK,21,44043947822,OK,0,,0.00,Rust
208,OK,333,331951449665644800,OK,0,,0.00,Rust
209,OK,3,15964587728784,OK,0,,0.00,Rust
210,OK,172,1598174770174689458,OK,0,,0.00,Rust
211,OK,2640,1922364685,OK,0,,0.00,Rust
212,OK,512,328968937309,OK,0,,0.00,Rust
213,OK,23,330.721154,OK,0,,0.00,Rust
214,OK,2271,1677366278943,OK,0,,0.00,Rust
215,OK,20,806844323190414,OK,0,,0.00,Rust
216,OK,5194,5437849,OK,0,,0.00,Rust
217,OK,30,6273134,OK,0,,0.00,Rust
218,OK,4,0,OK,0,,0.00,Rust
219,OK,3,64564225042,OK,0,,0.00,Rust
220,OK,4,"139776,963904",OK,1,"139776,963904",0.25,Rust
221,OK,24074,1884161251122450,OK,2643,1884161251122450,0.11,Rust
222,OK,3,1590933,OK,10,1590933,3.33,C
223,OK,458,61614848,OK,453,61614848,0.99,~tied
224,OK,100,4137330,OK,44,4137330,0.44,Rust
225,OK,35,2009,OK,35,2009,1.00,~tied
226,OK,3,0.11316017,OK,2,0.11316017,0.67,Rust
227,OK,33,3780.618622,OK,29,3780.618622,0.88,~tied
228,OK,3,86226,OK,2,86226,0.67,Rust
229,OK,28533,11325263,OK,2484,11325263,0.09,Rust
230,OK,3,850481152593119296,OK,10,850481152593119296,3.33,C
231,OK,811,7526965179680,OK,922,7526965179680,1.14,~tied
232,OK,3,0.83648556,OK,10,0.83648556,3.33,C
233,OK,3500,271204031455541309,OK,225,271204031455541309,0.06,Rust
234,OK,14,1259187438574927161,OK,23,1259187438574927161,1.64,C
235,OK,3,1.002322108633,OK,2,1.002322108633,0.67,Rust
236,OK,230,123/59,OK,99,123/59,0.43,Rust
237,OK,3,15836928,OK,2,15836928,0.67,Rust
238,OK,12194,9922545104535661,OK,8034,9922545104535661,0.66,Rust
239,OK,3,0.001887854841,OK,10,0.001887854841,3.33,C
240,OK,22,7448717393364181966,OK,12,7448717393364181966,0.55,Rust
241,OK,30,482316491800641154,OK,25,482316491800641154,0.83,~tied
242,OK,3,997104142249036713,OK,1,997104142249036713,0.33,Rust
243,OK,3,892371480,OK,1,892371480,0.33,Rust
244,OK,24,96356848,OK,14,96356848,0.58,Rust
245,OK,4316,288084712410001,OK,3079,288084712410001,0.71,~tied
246,OK,3,810834388,OK,10,810834388,3.33,C
247,OK,143,782252,OK,74,782252,0.52,Rust
248,OK,107,23507044290,OK,136,23507044290,1.27,~tied
249,OK,426,9275262564250418,OK,592,9275262564250418,1.39,~tied
250,OK,148,1425480602091519,OK,171,1425480602091519,1.16,~tied
251,OK,2824,18946051,OK,1949,18946051,0.69,~tied
252,OK,196,104924.0,OK,179,104924.0,0.91,~tied
253,OK,3,11.492847,OK,10,11.492847,3.33,C
254,OK,177,8184523820510,OK,54,8184523820510,0.31,Rust
255,OK,1059,4.4474011180,OK,944,4.4474011180,0.89,~tied
256,OK,3999,85765680,OK,3804,85765680,0.95,~tied
257,OK,733,139012411,OK,333,139012411,0.45,Rust
258,OK,281,12747994,OK,245,12747994,0.87,~tied
259,OK,5317,20101196798,OK,3753,20101196798,0.71,~tied
260,OK,278,167542057,OK,389,167542057,1.40,~tied
261,OK,89,238890850232021,OK,70,238890850232021,0.79,~tied
262,OK,190,2531.205,OK,141,2531.205,0.74,~tied
263,OK,2518,2039506520,OK,2307,2039506520,0.92,~tied
264,OK,45,2816417.1055,OK,86,2816417.1055,1.91,C
265,OK,4,209110240768,OK,2,209110240768,0.50,Rust
266,OK,1126,1096883702440585,OK,870,1096883702440585,0.77,~tied
267,OK,4,0.999992836187,OK,10,0.999992836187,2.50,C
268,OK,481,785478606870985,OK,293,785478606870985,0.61,Rust
269,OK,74,1311109198529286,OK,36,1311109198529286,0.49,Rust
270,OK,8,82282080,OK,6,82282080,0.75,~tied
271,OK,4,4617456485273129588,OK,3,4617456485273129588,0.75,~tied
272,OK,373,8495585919506151122,OK,391,8495585919506151122,1.05,~tied
273,OK,326,2032447591196869022,OK,331,2032447591196869022,1.02,~tied
274,OK,125,1601912348822,OK,100,1601912348822,0.80,~tied
275,OK,8541,15030564,OK,2018,15030564,0.24,Rust
276,OK,931,5777137137739632912,OK,354,5777137137739632912,0.38,Rust
277,OK,3,1125977393124310,OK,10,1125977393124310,3.33,C
278,OK,3,1228215747273908452,OK,2,1228215747273908452,0.67,Rust
279,OK,2002,416577688,OK,1352,416577688,0.68,~tied
280,OK,255,430.088247,OK,244,430.088247,0.96,~tied
281,OK,3,1485776387445623,OK,10,1485776387445623,3.33,C
282,OK,3,1098988351,OK,1,1098988351,0.33,Rust
283,OK,7885,28038042525570324,OK,9649,28038042525570324,1.22,~tied
284,OK,744,5a411d7b,OK,769,5a411d7b,1.03,~tied
285,OK,4,157055.80999,OK,12,157055.80999,3.00,C
286,OK,3,52.6494571953,OK,2,52.6494571953,0.67,Rust
287,OK,708,313135496,OK,683,313135496,0.96,~tied
288,OK,38,605857431263981935,OK,45,605857431263981935,1.18,~tied
289,,0,,OK,7,6567944538,,Rust-only
290,OK,15,20444710234716473,OK,20,20444710234716473,1.33,~tied
291,OK,3721,4037526,OK,3439,4037526,0.92,~tied
292,OK,1994,3600060866,OK,1414,3600060866,0.71,~tied
293,OK,235,2209,OK,98,2209,0.42,Rust
294,OK,14,789184709,OK,15,789184709,1.07,~tied
295,OK,193,4884650818,OK,99,4884650818,0.51,Rust
296,OK,2187,1137208419,OK,1454,1137208419,0.66,Rust
297,OK,16,2252639041804718029,OK,10,2252639041804718029,0.62,Rust
298,OK,2460,1.76882294,OK,39,1.76882294,0.02,Rust
299,OK,2178,549936643,OK,909,549936643,0.42,Rust
300,OK,481,8.0540771484375,OK,268,8.0540771484375,0.56,Rust
301,OK,3,2178309,OK,10,2178309,3.33,C
302,OK,946,1170060,OK,419,1170060,0.44,Rust
303,OK,345,1111981904675169,OK,263,1111981904675169,0.76,~tied
304,OK,537,283988410192,OK,451,283988410192,0.84,~tied
305,OK,7,18174995535140,OK,17,18174995535140,2.43,C
306,OK,14,852938,OK,11,852938,0.79,~tied
307,OK,4,0.7311720251,OK,1,0.7311720251,0.25,Rust
308,OK,120000,1539669807660924,OK,141,1539669807660924,0.00,Rust
309,OK,963,210139,OK,959,210139,1.00,~tied
310,OK,135,2586528661783,OK,143,2586528661783,1.06,~tied
311,OK,2819,2466018557,OK,1608,2466018557,0.57,Rust
312,OK,3,324681947,OK,10,324681947,3.33,C
313,OK,7,2057774861813004,OK,5,2057774861813004,0.71,~tied
314,WRONG,2108,140.00000000,OK,9633,132.52756426,,Rust-only
315,OK,58,13625242,OK,132,13625242,2.28,C
316,OK,62,542934735751917735,OK,111,542934735751917735,1.79,C
317,OK,3,1856532.8455,OK,2,1856532.8455,0.67,Rust
318,OK,5,709313889,OK,3,709313889,0.60,Rust
319,OK,2333,268457129,OK,1076,268457129,0.46,Rust
320,OK,14742,278157919195482643,OK,14286,278157919195482643,0.97,~tied
321,OK,8,2470433131948040,OK,0,2470433131948040,0.00,Rust
322,OK,1051,999998760323313995,OK,1058,999998760323313995,1.01,~tied
323,OK,5,6.3551758451,OK,1,6.3551758451,0.20,Rust
324,OK,6138,96972774,OK,5541,96972774,0.90,~tied
325,OK,3,54672965,OK,1,54672965,0.33,Rust
326,OK,349,1966666166408794329,OK,71,1966666166408794329,0.20,Rust
327,OK,4,34315549139516,OK,0,34315549139516,0.00,Rust
328,OK,11,260511850222,OK,3,260511850222,0.27,Rust
329,OK,9,199740353/29386561536000,OK,0,199740353/29386561536000,0.00,Rust
330,WRONG,6,3386391,OK,1,15955822,,Rust-only
331,OK,2853,467178235146843549,OK,2187,467178235146843549,0.77,~tied
332,OK,1131,2717.751525,OK,667,2717.751525,0.59,Rust
333,OK,247,3053105,OK,209,3053105,0.85,~tied
334,OK,3,150320021261690835,OK,0,150320021261690835,0.00,Rust
335,OK,3,5032316,OK,0,5032316,0.00,Rust
336,OK,1114,CAGBIHEFJDK,OK,1149,CAGBIHEFJDK,1.03,~tied
337,OK,11478,85068035,OK,4855,85068035,0.42,Rust
338,OK,23352,15614292,OK,9059,15614292,0.39,Rust
339,OK,946,19823.542204,OK,970,19823.542204,1.03,~tied
340,OK,5,291504964,OK,0,291504964,0.00,Rust
